,answer_id,date_sent,last_page,start_lang,random_value,sat_edu_sucess,faculty,faculty_other,edu_level,edu_level_other,semester_n,uebung_helpful,uebung_required,materials_helpfull,uebung_required_postpone,effective_learning,kurzscript_usage,fullscript_usage,notes_usage,videos_lecture_usage,uebeung_sols_usage,books_usage,old_exams_usage,videos_online_usage,ai_usage,material_understanding,materials_orga,materials_complicated,materials_ontime,materials_workload,materials_help,materials_safety,materials_motivation,materials_independent_learning,materials_learning_stress,materials_timewaste,materials_safety_exam,feedback
12,25,1980-01-01 00:00:00,6.0,de,199151288,2.0,Statistik,,Bachelor,,,4.0,5.0,3.0,5.0,4.0,3.0,3.0,2.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,
13,26,1980-01-01 00:00:00,6.0,de,1064863243,2.0,Sonstiges,Chemie/Chemische Biologie ,Bachelor,,3.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,
14,27,,,de,406162652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,28,,5.0,de,1688135400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,29,1980-01-01 00:00:00,6.0,de,89203027,2.0,Sonstiges,Maschinenbau,Bachelor,,3.0,5.0,3.0,4.0,1.0,5.0,,3.0,5.0,4.0,2.0,1.0,5.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,
17,30,,,de,668907510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,31,1980-01-01 00:00:00,6.0,de,1811773956,1.0,Statistik,,Bachelor,,3.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,2.0,1.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,
19,32,,1.0,de,1171390679,4.0,Statistik,,Bachelor,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,33,1980-01-01 00:00:00,6.0,de,325670612,3.0,Statistik,,Bachelor,,1.0,4.0,3.0,3.0,2.0,5.0,2.0,5.0,5.0,,5.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,
21,34,1980-01-01 00:00:00,6.0,de,1068051455,2.0,Sonstiges,Erziehungswissenschaft und Anglistik,Bachelor,,5.0,2.0,1.0,4.0,4.0,5.0,1.0,1.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,"Interessantes Thema, hält ihr Versprechen von einer Bearbeitungsdauer von max. 5 Minuten!"
22,35,,,de,17374277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,36,1980-01-01 00:00:00,6.0,de,1711537890,2.0,Sonstiges,Statistik/ Sport,Master,,1.0,2.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
24,37,1980-01-01 00:00:00,6.0,de,691396745,2.0,Sonstiges,Erziehungswissenschaft ,Bachelor,,5.0,,,3.0,4.0,5.0,,,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,1.0,3.0,
25,38,,5.0,de,1331738634,,Sonstiges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,39,,2.0,de,36104367,4.0,Statistik,,Bachelor,,1.0,4.0,5.0,2.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,
27,40,1980-01-01 00:00:00,6.0,de,1545605063,2.0,Sonstiges,Rehabilitationswissenschaften ,Bachelor,,3.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,2.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,
28,41,,1.0,de,2003161017,1.0,Statistik,,Bachelor,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,42,1980-01-01 00:00:00,6.0,de,287475552,3.0,Sonstiges,Lehramt / Kulturwissenschaften,Bachelor,,5.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,3.0,
30,43,1980-01-01 00:00:00,6.0,de,727797507,4.0,Sonstiges,Raumplanung,Bachelor,,3.0,,4.0,2.0,,4.0,3.0,2.0,4.0,,3.0,1.0,5.0,5.0,1.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,Fragen sind nicht gut gestellt. Ich werde vorher nicht gefragt ob mir die Materialien zur Verfügung gestellt werden. Also aus Sicht der Forschungsmethodik der Empirischen Sozialforschung nicht augereift
31,44,,1.0,de,999740606,3.0,Sonstiges,Maschinenbau ,Bachelor,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,45,,1.0,de,243061417,2.0,Sonstiges,Raumplanung,Bachelor,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,46,1980-01-01 00:00:00,6.0,de,1003303961,5.0,Informatik,,Bachelor,,3.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,1.0,5.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,
34,47,1980-01-01 00:00:00,6.0,de,848941878,4.0,Sonstiges,Wirtschaftswissenschaften,Bachelor,,1.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,
35,48,1980-01-01 00:00:00,6.0,de,51626550,4.0,Mathematik,,Master,,10.0,5.0,5.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,"Diese Fragen zeigen gut, womit viele Studierende im Alltag wirklich zu kämpfen haben. Sie ist gut aufgebaut."
36,49,1980-01-01 00:00:00,6.0,de,1499552064,1.0,Sonstiges,Bauingenieurwesen ,Bachelor,,6.0,1.0,4.0,2.0,4.0,5.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0,4.0,5.0,4.0,"Insgesamt war die Umfrage gut strukturiert und verständlich aufgebaut. Besonders positiv war, dass die Fragen klar formuliert waren und man sich schnell zurechtfinden konnte. Allerdings gibt es auch einige Punkte, die verbessert werden könnten. Manche Fragen waren etwas zu allgemein gehalten oder ließen zu wenig Antwortmöglichkeiten zu, sodass man seine Meinung nicht immer vollständig ausdrücken konnte. Zudem hätten bestimmte Themenbereiche detaillierter behandelt werden können, um ein umfassenderes Bild zu erhalten. Trotz dieser kleineren Schwächen bietet die Umfrage eine solide Grundlage, die mit ein paar Anpassungen noch aussagekräftiger werden könnte."
37,50,1980-01-01 00:00:00,6.0,de,1327536308,2.0,Physik,,Bachelor,,3.0,4.0,5.0,4.0,2.0,5.0,3.0,5.0,5.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,5.0,4.0,"supi, tolles Bild am Ende :)"
38,51,1980-01-01 00:00:00,6.0,de,160432177,2.0,Physik,,Bachelor,,3.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,,5.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,
39,52,1980-01-01 00:00:00,6.0,de,475596165,2.0,Physik,,Bachelor,,1.0,5.0,5.0,3.0,2.0,5.0,,3.0,,,3.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,
40,53,,1.0,de,2048802041,3.0,Sonstiges,Wiwi ,Bachelor,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,54,,,de,627304650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,55,1980-01-01 00:00:00,6.0,de,46019845,2.0,Mathematik,,Bachelor,,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,,5.0,2.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,
43,56,1980-01-01 00:00:00,6.0,de,1744866709,3.0,Sonstiges,,Bachelor,,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,
44,57,1980-01-01 00:00:00,6.0,de,1613936413,2.0,Sonstiges,Lehramt ,Master,,3.0,5.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,
45,58,1980-01-01 00:00:00,6.0,de,1041146462,2.0,Informatik,,Bachelor,,3.0,4.0,5.0,4.0,3.0,3.0,,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,,,,,,,
46,59,1980-01-01 00:00:00,6.0,de,915178644,2.0,Informatik,,Bachelor,,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,3.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,
47,60,,,de,1765360879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,61,1980-01-01 00:00:00,6.0,de,1449713378,3.0,Sonstiges,Architektur und Städtebau,Bachelor,,7.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,5.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
49,62,,,de,829862532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,63,,2.0,de,1667854739,4.0,Informatik,,Bachelor,,,4.0,4.0,3.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
51,64,,,de,714345298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,65,1980-01-01 00:00:00,6.0,de,1537054884,4.0,Sonstiges,Sozialwissenschaften ,Bachelor,,1.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,1.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,5.0,2.0,5.0,1.0,sehr schöne Umfrage 
53,66,1980-01-01 00:00:00,6.0,de,670424858,4.0,Sonstiges,Soziologie ,Bachelor,,1.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,,
54,67,,,de,1235076910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,68,1980-01-01 00:00:00,6.0,de,1271213050,3.0,Sonstiges,Soziologie,Bachelor,,1.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
56,69,1980-01-01 00:00:00,6.0,de,2093375848,3.0,Sonstiges,Erziehungswissenschaften,Bachelor,,1.0,3.0,4.0,2.0,4.0,4.0,,,5.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,,,4.0,2.0,2.0,4.0,1.0,,2.0,
57,70,1980-01-01 00:00:00,6.0,de,192999392,2.0,Sonstiges,Erziehungswissenschaft ,Bachelor,,6.0,4.0,2.0,4.0,3.0,5.0,1.0,4.0,5.0,3.0,5.0,4.0,,2.0,2.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,
58,71,1980-01-01 00:00:00,6.0,de,308664920,2.0,Mathematik,,Bachelor,,3.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,
59,72,1980-01-01 00:00:00,6.0,de,1785933329,2.0,Mathematik,,Master,,,5.0,5.0,4.0,5.0,4.0,1.0,5.0,2.0,4.0,5.0,2.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,
60,73,1980-01-01 00:00:00,6.0,de,1584720669,2.0,Mathematik,,Bachelor,,3.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,
61,74,1980-01-01 00:00:00,6.0,de,1055584030,4.0,Mathematik,,Bachelor,,3.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,4.0,4.0,1.0,3.0,1.0,5.0,4.0,
62,75,1980-01-01 00:00:00,6.0,de,1753896760,4.0,Sonstiges,Maschinenbau ,Bachelor,,3.0,4.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,3.0,5.0,1.0,5.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,
63,76,,,de,922163547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,77,1980-01-01 00:00:00,6.0,de,586748112,4.0,Sonstiges,Lehramt,Bachelor,,1.0,5.0,4.0,4.0,4.0,5.0,1.0,1.0,5.0,1.0,3.0,1.0,4.0,3.0,1.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,2.0,5.0,3.0,Es kommt auf das Fach und die Masse an Materialien an.
65,78,,2.0,de,379905886,2.0,Sonstiges,Erziehungswissenschaften,Bachelor,,5.0,4.0,5.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,
66,79,1980-01-01 00:00:00,6.0,de,1836798064,3.0,Mathematik,,Bachelor,,5.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,
67,80,,1.0,de,1497596287,2.0,Mathematik,,Bachelor,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,81,1980-01-01 00:00:00,6.0,de,1361749201,2.0,Sonstiges,Erziehungswissenschaften,Bachelor,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,82,1980-01-01 00:00:00,6.0,de,1149292348,4.0,Sonstiges,Erziehungswissenschaft,Bachelor,,3.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,5.0,,2.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,
70,83,1980-01-01 00:00:00,6.0,de,106344748,4.0,Sonstiges,Erziehungswissenschaft,Bachelor,,3.0,4.0,4.0,4.0,4.0,4.0,,3.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,
71,84,1980-01-01 00:00:00,6.0,de,1844819456,2.0,Sonstiges,Rehawissenschaften ,Bachelor,,1.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,/
72,85,1980-01-01 00:00:00,6.0,de,1520256307,4.0,Statistik,,Bachelor,,3.0,4.0,3.0,2.0,5.0,5.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,5.0,5.0,3.0,5.0,4.0,2.0,4.0,2.0,4.0,5.0,3.0,2.0,3.0,Tolle Umfrage!
73,86,1980-01-01 00:00:00,6.0,de,733315715,4.0,Statistik,,Bachelor,,3.0,5.0,2.0,4.0,3.0,5.0,4.0,2.0,2.0,1.0,5.0,1.0,5.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,
74,87,,3.0,de,1592993608,4.0,Physik,,Bachelor,,3.0,5.0,5.0,4.0,5.0,5.0,,3.0,2.0,,3.0,3.0,3.0,4.0,1.0,,,,,,,,,,,,,
75,88,1980-01-01 00:00:00,6.0,de,1170061090,3.0,Physik,,Bachelor,,3.0,4.0,4.0,4.0,4.0,5.0,,3.0,3.0,1.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,
76,89,1980-01-01 00:00:00,6.0,de,815693190,4.0,Physik,,Bachelor,,3.0,5.0,4.0,5.0,4.0,5.0,,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,5.0,4.0,2.0,4.0,,4.0,4.0,3.0,4.0,4.0,5.0,4.0,
77,90,1980-01-01 00:00:00,6.0,de,589376036,2.0,Physik,,Bachelor,,3.0,4.0,5.0,3.0,,5.0,1.0,2.0,2.0,,5.0,3.0,5.0,4.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,,,
78,91,1980-01-01 00:00:00,6.0,de,1216484452,4.0,Sonstiges,Maschinenbau,Bachelor,,1.0,4.0,5.0,3.0,5.0,5.0,,3.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,2.0,3.0,Gute Selbstreflexion 
79,92,1980-01-01 00:00:00,6.0,de,821297425,2.0,Sonstiges,maschienenbau,Bachelor,,3.0,5.0,2.0,4.0,2.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,
80,93,1980-01-01 00:00:00,6.0,de,1641440371,3.0,Sonstiges,Maschinenbau,Bachelor,,3.0,5.0,3.0,4.0,2.0,5.0,,3.0,3.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,
81,94,1980-01-01 00:00:00,6.0,de,148985319,5.0,Sonstiges,Maschinenbau,Bachelor,,,2.0,2.0,,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
82,95,,2.0,de,1470467085,3.0,Sonstiges,Maschienenbau,Bachelor,,1.0,4.0,3.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,
83,96,,4.0,de,687967841,4.0,Sonstiges,Maschinenbau ,Bachelor,,5.0,4.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,,,,,,,
84,97,,1.0,de,198273330,2.0,Sonstiges,Maschinenbau ,Bachelor,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,98,,,de,1913943682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,99,,4.0,de,90511228,4.0,Sonstiges,Maschinenbau ,Bachelor,,7.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,,,,,,,
87,100,,2.0,de,1118921475,4.0,Sonstiges,Maschinenbau ,Bachelor,,7.0,3.0,4.0,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,
88,101,1980-01-01 00:00:00,6.0,de,1841338722,4.0,Physik,,Bachelor,,3.0,4.0,4.0,2.0,2.0,4.0,,2.0,1.0,,,,5.0,5.0,5.0,5.0,,4.0,4.0,3.0,5.0,2.0,2.0,4.0,2.0,4.0,2.0,Die Umfrage hat länger als 2 Minuten gedauert
89,102,1980-01-01 00:00:00,6.0,de,1888283651,4.0,Physik,,Bachelor,,3.0,4.0,5.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,
90,103,1980-01-01 00:00:00,6.0,de,929682097,2.0,Physik,,Bachelor,,3.0,4.0,4.0,2.0,5.0,5.0,,3.0,4.0,1.0,3.0,4.0,3.0,3.0,5.0,4.0,2.0,2.0,3.0,2.0,4.0,,,,,,,
91,104,1980-01-01 00:00:00,6.0,de,215733916,3.0,Physik,,Bachelor,,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,1.0,3.0,1.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,
92,105,1980-01-01 00:00:00,6.0,de,269288987,4.0,Sonstiges,Soziologie ,Bachelor,,3.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,1.0,1.0,5.0,4.0,1.0,2.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,
93,106,1980-01-01 00:00:00,6.0,de,1350501186,2.0,Statistik,,Bachelor,,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,5.0,1.0,3.0,5.0,5.0,,4.0,4.0,5.0,2.0,4.0,,,5.0,4.0,4.0,4.0,
94,107,,,de,1745803656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,108,1980-01-01 00:00:00,6.0,de,641483712,3.0,Mathematik,,Master,,6.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,
96,109,1980-01-01 00:00:00,6.0,de,244584401,3.0,Sonstiges,lehramt,Bachelor,,6.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
97,110,1980-01-01 00:00:00,6.0,de,42040850,2.0,Sonstiges,BCI,Bachelor,,5.0,4.0,4.0,2.0,1.0,5.0,1.0,2.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,Tolle Umfrage 👍
98,111,1980-01-01 00:00:00,6.0,de,685352335,,,,,,3.0,3.0,4.0,4.0,4.0,5.0,,,5.0,4.0,3.0,4.0,,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,Wusste nur nicht genau was mit Skript bei Materialien gemeint wurde. 
99,112,1980-01-01 00:00:00,6.0,de,1576777486,2.0,Sonstiges,Sachunterricht ,Bachelor,,3.0,4.0,2.0,2.0,2.0,5.0,3.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,1.0,5.0,1.0,
