"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Wie zufrieden sind Sie mit ihrem aktuellen Lernerfolg?","Welcher Fakultät gehört Ihr Studiengang an?","Welcher Fakultät gehört Ihr Studiengang an? [Sonstiges]","Welchen Abschluss erhalten Sie in Ihrem aktuellen Studiengang?","Welchen Abschluss erhalten Sie in Ihrem aktuellen Studiengang? [Sonstiges]","Im wievielten Fachsemester studieren Sie?","Wählen Sie bitte die passende Aussage aus. [Ich empfinde die wöchentlichen Übungsaufgaben als hilfreich.]","Wählen Sie bitte die passende Aussage aus. [Wenn Übungsaufgaben verpflichtend sind, hilft es mir am Ball zu bleiben.]","Wählen Sie bitte die passende Aussage aus. [Normalerweise finde ich die einem Kurs gestellten Materialien ausreichend und hilfreich.]","Wählen Sie bitte die passende Aussage aus. [Wenn ein Kurs keine Verpflichtungen oder Fristen vorgibt, schiebe ich vieles auf.]","Wählen Sie bitte die passende Aussage aus. [Effizientes Lernen in der Prüfungsvorbereitung ist mir wichtig]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Kurzskript]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Vollständiges Skript]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Mitschriften aus der Vorlesung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Videoaufzeichnungen der Vorlesung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Übungsaufgaben mit Musterlösung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Bücher]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Altklausuren]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Online-Videos (z.B. YouTube)]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [KI-Chatbots (z.B. Chat-GPT, Gemini)]","Die Materialien, die ich benutze... [... fördern Verstehen statt Auswendiglernen.]","Die Materialien, die ich benutze... [... sind klar strukturiert und organisiert.]","Die Materialien, die ich benutze... [... sind nicht unnötig kompliziert dargestellt.]","Die Materialien, die ich benutze... [... stehen rechtzeitig zur Verfügung.]","Die Materialien, die ich benutze... [... erhöhen meine Arbeitsbelastung.]","Die Materialien, die ich benutze... [... erleichtern meinen Lernprozess.]","Die Materialien, die ich benutze... [... geben mir Sicherheit, den Stoff zu schaffen.]","Die Materialien, die ich benutze... [... steigern meine Motivation.]","Die Materialien, die ich benutze... [... unterstützen mein selbstständiges Lernen.]","Die Materialien, die ich benutze... [... reduzieren meinen Prüfungsstress.]","Die Materialien, die ich benutze... [... erhöhen meinen Zeitaufwand.]","Die Materialien, die ich benutze... [... geben mir Sicherheit über Prüfungsrelevanz.]","Feedback zur Umfrage"
"23","1980-01-01 00:00:00","6","de","1960540279","Eher unzufrieden","Statistik","","Bachelor","","1","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Manchmal","Immer","Oft","","Manchmal","Gar nicht","","Manchmal","Oft","Stimme eher zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme überhaupt nicht zu",""
"24",,,"de","338420113","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"25","1980-01-01 00:00:00","6","de","199151288","Eher zufrieden","Statistik","","Bachelor","",,"Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme voll und ganz zu","Stimme eher zu","Oft","Oft","Manchmal","Gar nicht","Immer","Gar nicht","Oft","Gar nicht","Oft","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Stimme eher nicht zu","Neutral","Neutral",""
"26","1980-01-01 00:00:00","6","de","1064863243","Eher zufrieden","Sonstiges","Chemie/Chemische Biologie ","Bachelor","","3","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Manchmal","Immer","Oft","Immer","Immer","Manchmal","Oft","Manchmal","Manchmal","Stimme eher zu","Neutral","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Neutral","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu",""
"27",,,"de","406162652","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"28",,"5","de","1688135400","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"29","1980-01-01 00:00:00","6","de","89203027","Eher zufrieden","Sonstiges","Maschinenbau","Bachelor","","3","Stimme voll und ganz zu","Neutral","Stimme eher zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","","Oft","Immer","Selten","Manchmal","Gar nicht","Immer","Manchmal","Immer","Stimme eher zu","Neutral","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Neutral","Stimme eher zu","Neutral","Stimme eher zu","Neutral",""
"30",,,"de","668907510","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"31","1980-01-01 00:00:00","6","de","1811773956","Sehr zufrieden","Statistik","","Bachelor","","3","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Neutral","Immer","Immer","Manchmal","Gar nicht","Immer","Selten","Oft","Manchmal","Manchmal","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Neutral",""
"32",,"1","de","1171390679","Eher unzufrieden","Statistik","","Bachelor","","6","","","","","","","","","","","","","","","","","","","","","","","","","","",
"33","1980-01-01 00:00:00","6","de","325670612","Neutral","Statistik","","Bachelor","","1","Stimme eher zu","Neutral","Neutral","Stimme eher nicht zu","Stimme voll und ganz zu","Manchmal","Immer","Immer","","Immer","Selten","Oft","Oft","Manchmal","Stimme eher zu","Neutral","Stimme eher nicht zu","Neutral","Neutral","Stimme eher zu","Stimme eher nicht zu","Neutral","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu",""
"34","1980-01-01 00:00:00","6","de","1068051455","Eher zufrieden","Sonstiges","Erziehungswissenschaft und Anglistik","Bachelor","","5","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Gar nicht","Gar nicht","Selten","Selten","Immer","Oft","Immer","Immer","Oft","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Neutral","Interessantes Thema, hält ihr Versprechen von einer Bearbeitungsdauer von max. 5 Minuten!"
"35",,,"de","17374277","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"36","1980-01-01 00:00:00","6","de","1711537890","Eher zufrieden","Sonstiges","Statistik/ Sport","Master","","1","Stimme eher nicht zu","Stimme überhaupt nicht zu","Neutral","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Immer","Immer","Immer","Manchmal","Immer","Selten","Oft","Immer","Immer","Stimme eher zu","Stimme eher zu","Stimme eher zu","Neutral","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu",""
"37","1980-01-01 00:00:00","6","de","691396745","Eher zufrieden","Sonstiges","Erziehungswissenschaft ","Bachelor","","5","","","Neutral","Stimme eher zu","Stimme voll und ganz zu","","","Oft","Oft","Oft","Oft","Immer","Selten","Immer","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme überhaupt nicht zu","Neutral",""
"38",,"5","de","1331738634","","Sonstiges","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"39",,"2","de","36104367","Eher unzufrieden","Statistik","","Bachelor","","1","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Stimme voll und ganz zu","","","","","","","","","","","","","","","","","","","","","",
"40","1980-01-01 00:00:00","6","de","1545605063","Eher zufrieden","Sonstiges","Rehabilitationswissenschaften ","Bachelor","","3","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Oft","Immer","Oft","Manchmal","Immer","Manchmal","Oft","Oft","Selten","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu",""
"41",,"1","de","2003161017","Sehr zufrieden","Statistik","","Bachelor","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",
"42","1980-01-01 00:00:00","6","de","287475552","Neutral","Sonstiges","Lehramt / Kulturwissenschaften","Bachelor","","5","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Gar nicht","Gar nicht","Oft","Selten","Gar nicht","Oft","Immer","Oft","Immer","Neutral","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Neutral",""
"43","1980-01-01 00:00:00","6","de","727797507","Eher unzufrieden","Sonstiges","Raumplanung","Bachelor","","3","","Stimme eher zu","Stimme eher nicht zu","","Stimme eher zu","Oft","Manchmal","Selten","","Oft","Gar nicht","Immer","Immer","Gar nicht","Stimme eher zu","Neutral","Neutral","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Neutral","Stimme eher nicht zu","Neutral","Stimme eher nicht zu","Neutral","Fragen sind nicht gut gestellt. Ich werde vorher nicht gefragt ob mir die Materialien zur Verfügung gestellt werden. Also aus Sicht der Forschungsmethodik der Empirischen Sozialforschung nicht augereift"
"44",,"1","de","999740606","Neutral","Sonstiges","Maschinenbau ","Bachelor","","7","","","","","","","","","","","","","","","","","","","","","","","","","","",
"45",,"1","de","243061417","Eher zufrieden","Sonstiges","Raumplanung","Bachelor","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",
"46","1980-01-01 00:00:00","6","de","1003303961","Sehr unzufrieden","Informatik","","Bachelor","","3","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme eher zu","Stimme voll und ganz zu","Selten","Immer","Manchmal","Immer","Immer","Gar nicht","Immer","Immer","Manchmal","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu",""
"47","1980-01-01 00:00:00","6","de","848941878","Eher unzufrieden","Sonstiges","Wirtschaftswissenschaften","Bachelor","","1","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Manchmal","Selten","Manchmal","Manchmal","Oft","Selten","Oft","Manchmal","Oft","Neutral","Neutral","Neutral","Stimme eher zu","Stimme eher zu","Neutral","Neutral","Stimme eher nicht zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Neutral",""
"48","1980-01-01 00:00:00","6","de","51626550","Eher unzufrieden","Mathematik","","Master","","10","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu","Neutral","Selten","Gar nicht","Manchmal","Gar nicht","Immer","Gar nicht","Immer","Immer","Immer","Neutral","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Neutral","Stimme eher zu","Neutral","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Neutral","Stimme eher nicht zu","Diese Fragen zeigen gut, womit viele Studierende im Alltag wirklich zu kämpfen haben. Sie ist gut aufgebaut."
"49","1980-01-01 00:00:00","6","de","1499552064","Sehr zufrieden","Sonstiges","Bauingenieurwesen ","Bachelor","","6","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme voll und ganz zu","Gar nicht","Gar nicht","Gar nicht","Selten","Immer","Gar nicht","Immer","Immer","Oft","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme überhaupt nicht zu","Neutral","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Insgesamt war die Umfrage gut strukturiert und verständlich aufgebaut. Besonders positiv war, dass die Fragen klar formuliert waren und man sich schnell zurechtfinden konnte. Allerdings gibt es auch einige Punkte, die verbessert werden könnten. Manche Fragen waren etwas zu allgemein gehalten oder ließen zu wenig Antwortmöglichkeiten zu, sodass man seine Meinung nicht immer vollständig ausdrücken konnte. Zudem hätten bestimmte Themenbereiche detaillierter behandelt werden können, um ein umfassenderes Bild zu erhalten. Trotz dieser kleineren Schwächen bietet die Umfrage eine solide Grundlage, die mit ein paar Anpassungen noch aussagekräftiger werden könnte."
"50","1980-01-01 00:00:00","6","de","1327536308","Eher zufrieden","Physik","","Bachelor","","3","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Oft","Immer","Immer","Gar nicht","Oft","Manchmal","Oft","Oft","Manchmal","Neutral","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher zu","supi, tolles Bild am Ende :)"
"51","1980-01-01 00:00:00","6","de","160432177","Eher zufrieden","Physik","","Bachelor","","3","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Selten","Manchmal","Immer","","Immer","Manchmal","Oft","Gar nicht","Gar nicht","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu",""
"52","1980-01-01 00:00:00","6","de","475596165","Eher zufrieden","Physik","","Bachelor","","1","Stimme voll und ganz zu","Stimme voll und ganz zu","Neutral","Stimme eher nicht zu","Stimme voll und ganz zu","","Oft","","","Oft","Selten","Immer","Immer","Immer","Stimme eher zu","Neutral","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Neutral","Stimme eher nicht zu",""
"53",,"1","de","2048802041","Neutral","Sonstiges","Wiwi ","Bachelor","","7","","","","","","","","","","","","","","","","","","","","","","","","","","",
"54",,,"de","627304650","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"55","1980-01-01 00:00:00","6","de","46019845","Eher zufrieden","Mathematik","","Bachelor","","5","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Oft","Immer","Immer","","Immer","Manchmal","Oft","Immer","Oft","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Neutral","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu",""
"56","1980-01-01 00:00:00","6","de","1744866709","Neutral","Sonstiges","","Bachelor","","5","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Immer","Immer","Immer","Immer","Immer","Selten","Immer","Manchmal","Manchmal","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Neutral","Stimme überhaupt nicht zu",""
"57","1980-01-01 00:00:00","6","de","1613936413","Eher zufrieden","Sonstiges","Lehramt ","Master","","3","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Immer","Oft","Oft","Manchmal","Oft","Manchmal","Immer","Selten","Manchmal","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu",""
"58","1980-01-01 00:00:00","6","de","1041146462","Eher zufrieden","Informatik","","Bachelor","","3","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Neutral","Neutral","","Gar nicht","Gar nicht","Gar nicht","Immer","Gar nicht","Immer","Gar nicht","Gar nicht","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Neutral","","","","","","",""
"59","1980-01-01 00:00:00","6","de","915178644","Eher zufrieden","Informatik","","Bachelor","","5","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Manchmal","Immer","Gar nicht","Immer","Oft","Gar nicht","Manchmal","Manchmal","Oft","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme eher zu",""
"60",,,"de","1765360879","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"61","1980-01-01 00:00:00","6","de","1449713378","Neutral","Sonstiges","Architektur und Städtebau","Bachelor","","7","Stimme eher zu","Neutral","Stimme eher zu","Stimme eher zu","Stimme eher zu","Selten","Manchmal","Immer","Oft","Oft","Manchmal","Immer","Oft","Gar nicht","Stimme eher zu","Stimme eher zu","Stimme eher zu","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",""
"62",,,"de","829862532","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"63",,"2","de","1667854739","Eher unzufrieden","Informatik","","Bachelor","",,"Stimme eher zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme voll und ganz zu","","","","","","","","","","","","","","","","","","","","","",
"64",,,"de","714345298","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"65","1980-01-01 00:00:00","6","de","1537054884","Eher unzufrieden","Sonstiges","Sozialwissenschaften ","Bachelor","","1","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Oft","Selten","Immer","Gar nicht","Immer","Selten","Oft","Oft","Selten","Neutral","Stimme eher zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","sehr schöne Umfrage "
"66","1980-01-01 00:00:00","6","de","670424858","Eher unzufrieden","Sonstiges","Soziologie ","Bachelor","","1","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Oft","Oft","Oft","Selten","Oft","Selten","Selten","Immer","Manchmal","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","","","","","","",""
"67",,,"de","1235076910","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
